dataframe_index,original_url,generated_filename,download_status,error_message
192,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141753%2Fsmall&type=IMAGE,image_40.jpg,Downloaded,
193,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141754%2Fsmall&type=IMAGE,image_41.jpg,Downloaded,
194,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141755%2Fsmall&type=IMAGE,image_42.jpg,Downloaded,
195,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141798%2Fsmall&type=IMAGE,image_43.jpg,Downloaded,
196,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141795%2Fsmall&type=IMAGE,image_44.jpg,Downloaded,
197,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141794%2Fsmall&type=IMAGE,image_45.jpg,Downloaded,
198,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141793%2Fsmall&type=IMAGE,image_46.jpg,Downloaded,
199,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141792%2Fsmall&type=IMAGE,image_47.jpg,Downloaded,
200,https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fbalat.kikirpa.be%2Fimage%2FA141791%2Fsmall&type=IMAGE,image_48.jpg,Downloaded,
201,,,Skipped (Invalid URL),Empty or invalid URL found.
202,,,Skipped (Invalid URL),Empty or invalid URL found.
203,,,Skipped (Invalid URL),Empty or invalid URL found.
204,,,Skipped (Invalid URL),Empty or invalid URL found.
